Join_Count,TARGET_FID,STATION_ID,STRAHLER_S,LATITUDE,LONGITUDE,FEATUREID,SOURCEFC,AreaSqKM
1,51,0078-01-2007,1.00000000000,39.56470000000,-79.20180000000,14363970,NHDFlowline,13.68090000000
1,52,0078-02-2007,2.00000000000,39.55010000000,-79.14420000000,14363962,NHDFlowline,0.82800000000
1,53,0078-03-2007,2.00000000000,39.58470000000,-79.17130000000,14363942,NHDFlowline,0.03420000000
1,54,0079-01-2007,2.00000000000,39.58450000000,-79.09180000000,14363936,NHDFlowline,0.82080000000
1,55,0080-01-2007,1.00000000000,39.60700000000,-79.10080000000,14363920,NHDFlowline,6.59250000000
1,56,0080-02-2007,3.00000000000,39.58580000000,-79.09170000000,14363934,NHDFlowline,3.66120000000
1,57,0080-03-2007,2.00000000000,39.60610000000,-79.08000000000,14363914,NHDFlowline,1.59660000000
1,58,0081-01-2007,1.00000000000,39.61500000000,-79.02560000000,14363926,NHDFlowline,5.24430000000
1,59,0081-02-2007,3.00000000000,39.64140000000,-79.02200000000,14364078,NHDFlowline,5.85810000000
1,60,0081-03-2007,3.00000000000,39.60110000000,-79.07140000000,14363922,NHDFlowline,2.09790000000
1,61,0082-01-2007,1.00000000000,39.64760000000,-79.06650000000,14363882,NHDFlowline,5.98950000000
1,62,0082-02-2007,1.00000000000,39.64330000000,-79.09220000000,14363890,NHDFlowline,4.34700000000
1,63,0083-01-2007,2.00000000000,39.64360000000,-79.02330000000,14363878,NHDFlowline,1.38780000000
1,64,0083-02-2007,1.00000000000,39.65720000000,-79.02890000000,14363874,NHDFlowline,7.30620000000
1,65,0083-03-2007,1.00000000000,39.65830000000,-79.03700000000,14363876,NHDFlowline,5.92020000000
1,66,0084-01-2007,1.00000000000,39.67000000000,-78.99120000000,14362958,NHDFlowline,12.13380000000
1,67,0084-02-2007,1.00000000000,39.67030000000,-78.99070000000,14362958,NHDFlowline,12.13380000000
1,68,0084-03-2007,1.00000000000,39.67380000000,-78.97080000000,14362958,NHDFlowline,12.13380000000
1,69,0087-01-2006,2.00000000000,39.51720000000,-79.02890000000,14364018,NHDFlowline,2.65860000000
1,70,0087-01-2008,3.00000000000,39.48790000000,-79.04440000000,14364970,NHDFlowline,5.50080000000
1,71,0087-02-2006,3.00000000000,39.50640000000,-79.04250000000,14364028,NHDFlowline,4.03290000000
1,72,0087-02-2008,1.00000000000,39.56720000000,-79.05890000000,14363974,NHDFlowline,7.31430000000
1,73,0087-03-2006,1.00000000000,39.52390000000,-79.05310000000,14364000,NHDFlowline,2.62890000000
1,74,0087-03-2008,1.00000000000,39.52550000000,-79.04440000000,14364018,NHDFlowline,2.65860000000
1,75,0087-04-2006,3.00000000000,39.48970000000,-79.04220000000,14364970,NHDFlowline,5.50080000000
1,76,0087-05-2006,1.00000000000,39.54570000000,-79.07580000000,14363974,NHDFlowline,7.31430000000
1,77,0088-01-2006,1.00000000000,39.52810000000,-79.00750000000,14363994,NHDFlowline,1.33290000000
1,78,0088-02-2006,2.00000000000,39.52210000000,-79.01170000000,14364002,NHDFlowline,0.32940000000
1,79,0089-01-2006,1.00000000000,39.56210000000,-78.99350000000,14363214,NHDFlowline,2.83860000000
1,80,0089-02-2006,1.00000000000,39.53760000000,-79.02190000000,14363978,NHDFlowline,5.86350000000
1,81,0089-03-2006,2.00000000000,39.54690000000,-79.01000000000,14363966,NHDFlowline,4.49370000000
1,82,0089-04-2006,3.00000000000,39.54210000000,-79.00560000000,14363976,NHDFlowline,2.55960000000
